DDPG
1000000.0
1001538.2871200561
998223.3036361694
998496.0177764893
993122.1326174164
1007322.7109102631
1014066.607547226
1010537.5171541596
1010362.4936251069
1013721.9318575287
1003273.5704073334
978382.2761568452
997686.849444809
1005776.5424837495
1007359.3080324555
1013605.64328331
1015388.0564455414
1012552.7979921723
1012834.9897951508
1016435.4190706635
1009547.8814577485
1007491.1066469575
1015566.7679476166
1004218.820514145
1013660.1451906586
1019260.9523653412
1016770.769366684
1024871.8327669526
1031245.7675356293
1030900.9464449311
1031478.8941835786
1034168.4990724946
1026102.0693392182
1012736.0775789643
1009202.6665224457
1015924.0646089936
1024951.097567978
1028216.3011812592
1027379.8081545258
1018985.4582857514
1028143.5847200776
1027341.1422762299
1026547.5464815522
1024822.3631014252
1028661.697680893
1025052.7272371674
1018953.0220980073
1014138.0033296967
1010440.1627077485
1001081.9961733246
1009466.5581240082
1001250.3258547211
1008878.5284304047
1004385.3559450532
998130.4944033051
976387.7329897309
972177.2506136323
983420.6771578217
994845.4626955414
991697.0985445405
993179.931552353
974458.9749483491
976217.879107895
960148.1037935639
974263.1119112397
961063.590762558
972221.4804415131
976197.3004183198
987211.2378420258
988306.3473085786
978085.9690889741
973070.4599337006
974203.0240206147
989173.9206575776
1003787.2155336762
1003878.1512026215
1008349.3777193452
1012533.0193972016
1015837.3839144135
1016677.9427675629
1019223.9599947358
1020032.7504457856
1011172.60031456
1018869.6308321381
1022934.631778183
1026745.1963381196
1032066.1658205414
1034424.9962038422
1031493.3656954194
1041901.2804445649
1045533.5306276703
1041041.3577303315
1030762.1031069184
1023837.4211000825
1028818.3275484467
1028781.2967562104
1024918.81465477
1016363.110583725
1016838.3902315522
1007806.6393923188
1006143.2906526948
1012106.6916536713
1011921.4966463471
985346.0219606782
990033.2175478364
976953.9966005707
966478.6949495698
984948.1743807221
980475.6026186371
999860.531665268
1016298.5614199067
1018937.39378685
1018435.354510727
1024358.3534578705
1014317.4306215668
1010070.6598848725
1023488.6534151459
1019265.5916475678
1005189.685092392
