date,account_value
2021-07-01,1000000.0
2021-07-02,1004412.4958381193
2021-07-06,998378.4455635028
2021-07-07,1001393.3841210605
2021-07-08,993890.2689138867
2021-07-09,1006832.3644084083
2021-07-12,1010471.0211292704
2021-07-13,1007370.2508316995
2021-07-14,1008653.4409843062
2021-07-15,1010206.5330473628
2021-07-16,1001568.4312439264
2021-07-19,980611.5009568942
2021-07-20,996490.598435584
2021-07-21,1004748.8299363063
2021-07-22,1005480.8246704559
2021-07-23,1012358.5298929054
2021-07-26,1014748.0584657391
2021-07-27,1012271.0063314724
2021-07-28,1008587.0087965692
2021-07-29,1013022.0622536143
2021-07-30,1008718.0685625292
2021-08-02,1005908.4043371984
2021-08-03,1013942.1875296069
2021-08-04,1004594.9869752309
2021-08-05,1012436.4664662948
2021-08-06,1016601.8435890796
2021-08-09,1013522.1646652044
2021-08-10,1018223.3980255768
2021-08-11,1024584.1954103365
2021-08-12,1025013.9180508773
2021-08-13,1025462.2507270321
2021-08-16,1028638.9274122891
2021-08-17,1020493.145641913
2021-08-18,1009446.341289556
2021-08-19,1007524.2065808696
2021-08-20,1014048.4339147484
2021-08-23,1020274.56231452
2021-08-24,1021156.678002622
2021-08-25,1022289.6344131816
2021-08-26,1016734.9335407432
2021-08-27,1023742.0067077336
2021-08-30,1022126.2044640627
2021-08-31,1020996.9700606258
2021-09-01,1019605.277760985
2021-09-02,1023396.085621503
2021-09-03,1021238.3365831344
2021-09-07,1013468.7031083496
2021-09-08,1011478.4443905067
2021-09-09,1007098.5443117355
2021-09-10,999254.6962706842
2021-09-13,1006817.0252275388
2021-09-14,998384.1977563291
2021-09-15,1005222.0887813743
2021-09-16,1003401.0122054764
2021-09-17,998595.2242813819
2021-09-20,980854.897665106
2021-09-21,979393.051170605
2021-09-22,989166.2523583991
2021-09-23,1003790.8078605182
2021-09-24,1004748.8299363063
2021-09-27,1006809.5812132931
2021-09-28,990369.3629638185
2021-09-29,992989.0920377922
2021-09-30,977201.0145514688
2021-10-01,991133.7278811268
2021-10-04,981791.941155293
2021-10-05,990793.333411533
2021-10-06,993747.5919741796
2021-10-07,1003505.5667691985
2021-10-08,1003254.6132586466
2021-10-11,996030.6485856824
2021-10-12,992631.6665659093
2021-10-13,992616.3273850395
2021-10-14,1008056.5663875237
2021-10-15,1019092.2047185125
2021-10-18,1018048.3509027107
2021-10-19,1023785.5429122609
2021-10-20,1028175.2555552648
2021-10-21,1027994.4562395726
2021-10-22,1030129.4220828261
2021-10-25,1031981.0642323688
2021-10-26,1032435.2618894441
2021-10-27,1024749.4299689697
2021-10-28,1031673.039945934
2021-10-29,1034245.059655879
2021-11-01,1036967.3131078713
2021-11-02,1040974.6741100794
2021-11-03,1044004.9518485066
2021-11-04,1043042.0798846494
2021-11-05,1048924.204595799
2021-11-08,1051934.8572057607
2021-11-09,1048694.1168827538
2021-11-10,1041763.2884677331
2021-11-11,1037180.7081829116
2021-11-12,1042351.3655931344
2021-11-15,1041980.0671856123
2021-11-16,1043561.4690604211
2021-11-17,1037464.2574528117
2021-11-18,1035728.8998288327
2021-11-19,1027962.7627849816
2021-11-22,1028461.3989513414
2021-11-23,1034078.8100043943
2021-11-24,1033806.7651201463
2021-11-26,1007674.8914752953
2021-11-29,1014506.4663670413
2021-11-30,995674.3509947459
2021-12-01,982343.9260904128
2021-12-02,1000180.6865275975
2021-12-03,998456.6077130815
2021-12-06,1017136.571945721
2021-12-07,1031353.9624262253
2021-12-08,1032373.7923778709
2021-12-09,1032372.1005564512
2021-12-10,1038617.4029323101
2021-12-13,1029376.6743392647
2021-12-14,1026293.8373487398
2021-12-15,1037359.7028890895
2021-12-16,1036499.5808794404
2021-12-17,1021132.9925027497
2021-12-20,1008622.5370463775
2021-12-21,1024807.4030496097
2021-12-22,1032348.9789970522
2021-12-23,1038027.5211973946
2021-12-27,1048185.8937283504
2021-12-28,1050952.924053911
2021-12-29,1053563.6300803141
2021-12-30,1050949.0892586934
2021-12-31,1049223.0930465688
2022-01-03,1056347.916984353
2022-01-04,1062543.9309628585
2022-01-05,1051209.8553334784
2022-01-06,1046282.8202076564
2022-01-07,1046143.9780631667
2022-01-10,1041443.6470075514
2022-01-11,1046731.8296123788
2022-01-12,1047837.7168802271
2022-01-13,1042735.7474196339
2022-01-14,1036908.6632986637
2022-01-18,1021220.4032760881
2022-01-19,1011408.515771836
2022-01-20,1002363.5873110685
2022-01-21,989369.8348692064
2022-01-24,992232.0583466348
2022-01-25,990304.1714451223
2022-01-26,986560.9601605381
2022-01-27,986349.933635485
2022-01-28,1002654.5805952143
2022-01-31,1014388.6028081528
2022-02-01,1022282.0776108415
2022-02-02,1028752.3922354871
2022-02-03,1013790.9386947079
2022-02-04,1013172.4087837563
2022-02-07,1013212.5613454445
2022-02-08,1023943.5590328376
2022-02-09,1032758.0614162757
2022-02-10,1017556.9331744075
2022-02-11,1003018.0966242072
2022-02-14,998055.0820961983
2022-02-15,1010259.0922994605
2022-02-16,1008683.4426174777
2022-02-17,990717.0886595631
2022-02-18,983993.7903386621
2022-02-22,970060.1747042472
2022-02-23,956638.278655169
2022-02-24,959296.581257506
2022-02-25,983403.9086037466
2022-02-28,978606.5797867492
2022-03-01,961350.1140964365
2022-03-02,978570.4875964677
2022-03-03,975778.6438900885
2022-03-04,970585.4288609395
2022-03-07,947560.8672231481
2022-03-08,942226.7798638061
2022-03-09,961098.9350096952
2022-03-10,957859.8865081077
2022-03-11,951222.4199272201
2022-03-14,951252.647136581
2022-03-15,968550.9572100015
2022-03-16,983529.5545411645
2022-03-17,995588.9704071109
2022-03-18,1003505.2284049146
2022-03-21,997674.4222768217
2022-03-22,1005022.0027015004
2022-03-23,992058.8158332829
2022-03-24,1002148.5004146091
2022-03-25,1006574.7564002732
2022-03-28,1009307.7247212554
2022-03-29,1019075.7376566966
2022-03-30,1017187.8905287776
2022-03-31,1001294.1305977858
2022-04-01,1005334.0873593419
2022-04-04,1008325.678781311
2022-04-05,1000220.8390892857
2022-04-06,996043.7320046595
2022-04-07,998557.4402696808
2022-04-08,1002529.047445891
2022-04-11,990602.9471077974
2022-04-12,988070.1776547837
2022-04-13,998009.4029178731
2022-04-14,994736.2924117072
2022-04-18,993594.6513178612
2022-04-19,1008017.3161305923
2022-04-20,1015223.9114369834
2022-04-21,1004597.5811014074
2022-04-22,976261.9408755784
2022-04-25,983135.6985147161
2022-04-26,959768.7122216277
2022-04-27,961551.6664215405
2022-04-28,979293.4592830467
2022-04-29,952175.8176911285
2022-05-02,954609.559197057
2022-05-03,956552.4469151554
2022-05-04,983470.566367673
2022-05-05,952775.1736259928
2022-05-06,949928.2893294342
2022-05-09,931054.3295740309
2022-05-10,928601.2449098732
2022-05-11,919170.1864071398
2022-05-12,916172.8427923445
2022-05-13,929638.3878340445
2022-05-16,930411.0426763082
2022-05-17,942860.5361675328
2022-05-18,909236.4877606871
2022-05-19,902395.1566987556
2022-05-20,902648.3659712003
2022-05-23,920502.1574106741
2022-05-24,921899.037962668
2022-05-25,927432.9858256945
2022-05-26,942358.1216000029
2022-05-27,958982.804778245
2022-05-31,952548.5823438809
2022-06-01,947441.0862666509
2022-06-02,960002.6347298905
2022-06-03,949937.7635293831
2022-06-06,950402.1121149752
2022-06-07,958035.1592071629
2022-06-08,950261.1269966876
2022-06-09,931836.5150102908
2022-06-10,906427.6130520188
2022-06-13,881132.7962514651
2022-06-14,876746.5800393947
2022-06-15,885515.516032602
2022-06-16,864106.813032529
2022-06-17,863001.2077349173
2022-06-21,881522.8738767434
2022-06-22,880162.3674852677
2022-06-23,885770.4735205134
2022-06-24,909542.8202257026
2022-06-27,907740.5228675606
2022-06-28,893555.7281464044
2022-06-29,895932.6244526394
2022-06-30,888602.1314242971
2022-07-01,897894.5733587303
2022-07-05,894157.1706610194
2022-07-06,896174.2729453844
2022-07-07,906189.7429604438
2022-07-08,904849.98957838
2022-07-11,900105.7275599062
2022-07-12,894547.2482862978
2022-07-13,888525.8866723272
2022-07-14,884407.9369433343
2022-07-15,903409.4600337642
2022-07-18,897182.8240875669
2022-07-19,918966.3783201432
2022-07-20,920346.227869848
2022-07-21,925025.5239458148
2022-07-22,921052.1685541378
2022-07-25,923672.4615685847
2022-07-26,917074.8091851015
2022-07-27,929665.2314005664
2022-07-28,939252.5014143627
2022-07-29,948362.1138474004
2022-08-01,947012.8298713404
2022-08-02,935398.9833732302
2022-08-03,947419.9948929551
2022-08-04,944946.1008253382
2022-08-05,947159.2288181703
2022-08-08,947998.5978184076
2022-08-09,946320.1981822168
2022-08-10,961770.5881132176
2022-08-11,962554.8037351808
2022-08-12,974808.2151238909
