,date,account_value
0,2021-07-01,1000000.0
1,2021-07-02,1004412.4958381193
2,2021-07-06,998378.4455635028
3,2021-07-07,1001393.3841210605
4,2021-07-08,993890.2689138867
5,2021-07-09,1006832.3644084083
6,2021-07-12,1010471.0211292704
7,2021-07-13,1007370.2508316995
8,2021-07-14,1008653.4409843062
9,2021-07-15,1010206.5330473628
10,2021-07-16,1001568.4312439264
11,2021-07-19,980611.5009568942
12,2021-07-20,996490.598435584
13,2021-07-21,1004748.8299363063
14,2021-07-22,1005480.8246704559
15,2021-07-23,1012358.5298929054
16,2021-07-26,1014748.0584657391
17,2021-07-27,1012271.0063314724
18,2021-07-28,1008587.0087965692
19,2021-07-29,1013022.0622536143
20,2021-07-30,1008718.0685625292
21,2021-08-02,1005908.4043371984
22,2021-08-03,1013942.1875296069
23,2021-08-04,1004594.9869752309
24,2021-08-05,1012436.4664662948
25,2021-08-06,1016601.8435890796
26,2021-08-09,1013522.1646652044
27,2021-08-10,1018223.3980255768
28,2021-08-11,1024584.1954103365
29,2021-08-12,1025013.9180508773
30,2021-08-13,1025462.2507270321
31,2021-08-16,1028638.9274122891
32,2021-08-17,1020493.145641913
33,2021-08-18,1009446.341289556
34,2021-08-19,1007524.2065808696
35,2021-08-20,1014048.4339147484
36,2021-08-23,1020274.56231452
37,2021-08-24,1021156.678002622
38,2021-08-25,1022289.6344131816
39,2021-08-26,1016734.9335407432
40,2021-08-27,1023742.0067077336
41,2021-08-30,1022126.2044640627
42,2021-08-31,1020996.9700606258
43,2021-09-01,1019605.277760985
44,2021-09-02,1023396.085621503
45,2021-09-03,1021238.3365831344
46,2021-09-07,1013468.7031083496
47,2021-09-08,1011478.4443905067
48,2021-09-09,1007098.5443117355
49,2021-09-10,999254.6962706842
50,2021-09-13,1006817.0252275388
51,2021-09-14,998384.1977563291
52,2021-09-15,1005222.0887813743
53,2021-09-16,1003401.0122054764
54,2021-09-17,998595.2242813819
55,2021-09-20,980854.897665106
56,2021-09-21,979393.051170605
57,2021-09-22,989166.2523583991
58,2021-09-23,1003790.8078605182
59,2021-09-24,1004748.8299363063
60,2021-09-27,1006809.5812132931
61,2021-09-28,990369.3629638185
62,2021-09-29,992989.0920377922
63,2021-09-30,977201.0145514688
64,2021-10-01,991133.7278811268
65,2021-10-04,981791.941155293
66,2021-10-05,990793.333411533
67,2021-10-06,993747.5919741796
68,2021-10-07,1003505.5667691985
69,2021-10-08,1003254.6132586466
70,2021-10-11,996030.6485856824
71,2021-10-12,992631.6665659093
72,2021-10-13,992616.3273850395
73,2021-10-14,1008056.5663875237
74,2021-10-15,1019092.2047185125
75,2021-10-18,1018048.3509027107
76,2021-10-19,1023785.5429122609
77,2021-10-20,1028175.2555552648
78,2021-10-21,1027994.4562395726
79,2021-10-22,1030129.4220828261
80,2021-10-25,1031981.0642323688
81,2021-10-26,1032435.2618894441
82,2021-10-27,1024749.4299689697
83,2021-10-28,1031673.039945934
84,2021-10-29,1034245.059655879
85,2021-11-01,1036967.3131078713
86,2021-11-02,1040974.6741100794
87,2021-11-03,1044004.9518485066
88,2021-11-04,1043042.0798846494
89,2021-11-05,1048924.204595799
90,2021-11-08,1051934.8572057607
91,2021-11-09,1048694.1168827538
92,2021-11-10,1041763.2884677331
93,2021-11-11,1037180.7081829116
94,2021-11-12,1042351.3655931344
95,2021-11-15,1041980.0671856123
96,2021-11-16,1043561.4690604211
97,2021-11-17,1037464.2574528117
98,2021-11-18,1035728.8998288327
99,2021-11-19,1027962.7627849816
100,2021-11-22,1028461.3989513414
101,2021-11-23,1034078.8100043943
102,2021-11-24,1033806.7651201463
103,2021-11-26,1007674.8914752953
104,2021-11-29,1014506.4663670413
105,2021-11-30,995674.3509947459
106,2021-12-01,982343.9260904128
107,2021-12-02,1000180.6865275975
108,2021-12-03,998456.6077130815
109,2021-12-06,1017136.571945721
110,2021-12-07,1031353.9624262253
111,2021-12-08,1032373.7923778709
112,2021-12-09,1032372.1005564512
113,2021-12-10,1038617.4029323101
114,2021-12-13,1029376.6743392647
115,2021-12-14,1026293.8373487398
116,2021-12-15,1037359.7028890895
117,2021-12-16,1036499.5808794404
118,2021-12-17,1021132.9925027497
119,2021-12-20,1008622.5370463775
120,2021-12-21,1024807.4030496097
121,2021-12-22,1032348.9789970522
122,2021-12-23,1038027.5211973946
123,2021-12-27,1048185.8937283504
124,2021-12-28,1050952.924053911
125,2021-12-29,1053563.6300803141
126,2021-12-30,1050949.0892586934
127,2021-12-31,1049223.0930465688
128,2022-01-03,1056347.916984353
129,2022-01-04,1062543.9309628585
130,2022-01-05,1051209.8553334784
131,2022-01-06,1046282.8202076564
132,2022-01-07,1046143.9780631667
133,2022-01-10,1041443.6470075514
134,2022-01-11,1046731.8296123788
135,2022-01-12,1047837.7168802271
136,2022-01-13,1042735.7474196339
137,2022-01-14,1036908.6632986637
138,2022-01-18,1021220.4032760881
139,2022-01-19,1011408.515771836
140,2022-01-20,1002363.5873110685
141,2022-01-21,989369.8348692064
142,2022-01-24,992232.0583466348
143,2022-01-25,990304.1714451223
144,2022-01-26,986560.9601605381
145,2022-01-27,986349.933635485
146,2022-01-28,1002654.5805952143
147,2022-01-31,1014388.6028081528
148,2022-02-01,1022282.0776108415
149,2022-02-02,1028752.3922354871
150,2022-02-03,1013790.9386947079
151,2022-02-04,1013172.4087837563
152,2022-02-07,1013212.5613454445
153,2022-02-08,1023943.5590328376
154,2022-02-09,1032758.0614162757
155,2022-02-10,1017556.9331744075
156,2022-02-11,1003018.0966242072
157,2022-02-14,998055.0820961983
158,2022-02-15,1010259.0922994605
159,2022-02-16,1008683.4426174777
160,2022-02-17,990717.0886595631
161,2022-02-18,983993.7903386621
162,2022-02-22,970060.1747042472
163,2022-02-23,956638.278655169
164,2022-02-24,959296.581257506
165,2022-02-25,983403.9086037466
166,2022-02-28,978606.5797867492
167,2022-03-01,961350.1140964365
168,2022-03-02,978570.4875964677
169,2022-03-03,975778.6438900885
170,2022-03-04,970585.4288609395
171,2022-03-07,947560.8672231481
172,2022-03-08,942226.7798638061
173,2022-03-09,961098.9350096952
174,2022-03-10,957859.8865081077
175,2022-03-11,951222.4199272201
176,2022-03-14,951252.647136581
177,2022-03-15,968550.9572100015
178,2022-03-16,983529.5545411645
179,2022-03-17,995588.9704071109
180,2022-03-18,1003505.2284049146
181,2022-03-21,997674.4222768217
182,2022-03-22,1005022.0027015004
183,2022-03-23,992058.8158332829
184,2022-03-24,1002148.5004146091
185,2022-03-25,1006574.7564002732
186,2022-03-28,1009307.7247212554
187,2022-03-29,1019075.7376566966
188,2022-03-30,1017187.8905287776
189,2022-03-31,1001294.1305977858
190,2022-04-01,1005334.0873593419
191,2022-04-04,1008325.678781311
192,2022-04-05,1000220.8390892857
193,2022-04-06,996043.7320046595
194,2022-04-07,998557.4402696808
195,2022-04-08,1002529.047445891
196,2022-04-11,990602.9471077974
