date,A2c
2021-12-15,1037472.20829068
2021-12-16,1037115.6308027344
2021-12-17,1022826.798348053
2021-12-20,1007194.820625885
2021-12-21,1026533.5678983765
2021-12-22,1033374.8627859192
2021-12-23,1039980.8829427796
2021-12-27,1050891.5378728942
2021-12-28,1053122.2519422607
2021-12-29,1053591.7179304198
2021-12-30,1049337.8387533263
2021-12-31,1046133.6976362305
2022-01-03,1051936.0266882018
2022-01-04,1062227.7798467712
2022-01-05,1051932.2528272704
2022-01-06,1055604.6969686584
2022-01-07,1064387.0764776305
2022-01-10,1056184.4007497863
2022-01-11,1060254.6919904784
2022-01-12,1061623.2124906615
2022-01-13,1054245.9494520263
2022-01-14,1052097.8982664184
2022-01-18,1044194.9509244995
2022-01-19,1031586.3165823059
2022-01-20,1028650.1388631897
2022-01-21,1013611.1665350037
2022-01-24,1020397.525402649
2022-01-25,1027700.6146551209
2022-01-26,1027551.4776235657
2022-01-27,1024702.7723127442
2022-01-28,1032449.6122900086
2022-01-31,1044026.0126730042
2022-02-01,1053600.1681905822
2022-02-02,1064110.0584798888
2022-02-03,1049024.6453138427
2022-02-04,1051837.9290891723
2022-02-07,1052801.2874075011
2022-02-08,1062286.376976593
2022-02-09,1073038.4270330505
2022-02-10,1062008.8036085204
2022-02-11,1050338.3921285705
2022-02-14,1045567.6667791443
2022-02-15,1058558.55878125
2022-02-16,1058545.7200018005
2022-02-17,1038809.7760015564
2022-02-18,1033090.9763036805
2022-02-22,1027391.6500555115
2022-02-23,1013175.1578947144
2022-02-24,1017125.2578283387
2022-02-25,1043545.8737569886
2022-02-28,1043360.9630628662
2022-03-01,1015245.7818494873
2022-03-02,1035896.3605733948
2022-03-03,1029315.8301168518
2022-03-04,1015827.9360319214
2022-03-07,980385.1812826233
2022-03-08,986005.994869812
2022-03-09,1006953.6924062805
2022-03-10,1007018.2248159485
2022-03-11,1004182.386440857
2022-03-14,1007807.410835846
2022-03-15,1024091.5632864075
2022-03-16,1039049.5734525757
2022-03-17,1051364.6135717467
2022-03-18,1060162.4101339416
2022-03-21,1058345.1718793944
2022-03-22,1067804.6347852782
2022-03-23,1054938.5330930785
2022-03-24,1068432.383831604
2022-03-25,1077185.5539899901
2022-03-28,1078510.4982763366
2022-03-29,1085584.3179441527
2022-03-30,1086730.2752195434
2022-03-31,1070733.1165624694
2022-04-01,1076272.813076599
2022-04-04,1075954.5095068053
2022-04-05,1066542.3369833068
2022-04-06,1060136.4507871703
2022-04-07,1062932.468067749
2022-04-08,1063396.1690679626
2022-04-11,1046991.5584608155
2022-04-12,1042658.8928533631
2022-04-13,1054116.0276075439
2022-04-14,1050223.8753858642
2022-04-18,1054475.7369657592
2022-04-19,1056891.7280164794
2022-04-20,1060021.866478546
2022-04-21,1046126.215736969
2022-04-22,1021215.6988531189
2022-04-25,1030102.1970640259
2022-04-26,1005025.305908783
2022-04-27,1010285.205101593
2022-04-28,1029103.0532613831
2022-04-29,999512.4967809754
2022-05-02,1002842.8394132691
2022-05-03,1007473.8333707886
2022-05-04,1037981.3659063416
2022-05-05,1007947.4829336243
2022-05-06,1004864.1118932801
2022-05-09,979220.8748899536
2022-05-10,981823.5441557007
2022-05-11,970429.5907980042
2022-05-12,963256.0351568299
2022-05-13,975598.0999532776
2022-05-16,978460.2182737427
2022-05-17,995103.2584234314
2022-05-18,962443.284096344
2022-05-19,951354.0570608216
2022-05-20,947010.2189603882
2022-05-23,970264.4275709229
2022-05-24,972086.5810552674
2022-05-25,980971.9396864014
2022-05-26,995631.4405561524
2022-05-27,1015824.6268430786
2022-05-31,1013154.1252332764
2022-06-01,1004878.3689848023
2022-06-02,1016527.6437078553
2022-06-03,1005533.0306936341
2022-06-06,1007521.1214109497
2022-06-07,1017575.3671117859
2022-06-08,1008187.9287839966
2022-06-09,986868.355820282
2022-06-10,957356.0603490906
2022-06-13,930060.433315857
2022-06-14,929658.0108190613
2022-06-15,936762.7373548584
2022-06-16,907659.4520498352
2022-06-17,911023.9490209656
2022-06-21,924558.2597547608
2022-06-22,921521.9137426453
2022-06-23,914390.809486969
2022-06-24,943827.727291687
2022-06-27,940760.7851835327
2022-06-28,929438.055531128
2022-06-29,927945.5606161194
2022-06-30,924801.9882207947
2022-07-01,936018.4786077576
2022-07-05,929774.6813551026
2022-07-06,932080.9222456055
2022-07-07,941300.3056608277
2022-07-08,938581.5819250183
2022-07-11,932544.6679693299
2022-07-12,920799.8011098938
2022-07-13,915704.2012601929
2022-07-14,904006.4715887146
2022-07-15,917005.8314024048
2022-07-18,912260.1087118225
2022-07-19,936757.3723569947
2022-07-20,941336.3418546753
2022-07-21,943307.367413147
2022-07-22,939936.8581472473
2022-07-25,944177.6666837769
2022-07-26,943542.9603811341
2022-07-27,957737.4691511231
2022-07-28,965905.8149992066
2022-07-29,985745.2515264588
2022-08-01,981212.5294424134
2022-08-02,969798.0037885742
2022-08-03,981679.6305662232
2022-08-04,982775.5744176941
2022-08-05,983996.9401022034
2022-08-08,983364.9776846009
2022-08-09,991694.5922933655
2022-08-10,1007365.7738500672
2022-08-11,1013275.3303342896
2022-08-12,1028342.0116392212
2022-08-15,1030007.578980072
2022-08-16,1031559.8290105896
2022-08-17,1027190.8480535584
2022-08-18,1028831.44940625
2022-08-19,1018857.6124960022
2022-08-22,996821.3819662171
2022-08-23,997188.6720472412
2022-08-24,999488.1458936768
2022-08-25,1010696.5390516358
2022-08-26,979451.613670929
2022-08-29,971376.8213125305
2022-08-30,960665.3114744263
2022-08-31,952187.6051755982
2022-09-01,952512.3887411194
2022-09-02,943771.9757238465
2022-09-06,935867.4006200867
2022-09-07,950581.9133344727
2022-09-08,955208.5355917054
2022-09-09,969561.8942457276
2022-09-12,979981.9345403748
2022-09-13,945349.0676504212
2022-09-14,949552.2715284863
